sku,image_name,description,related_products
NATIONAL - Coriander Powder 50g,,"Unleash the vibrant aroma and flavour of NATIONAL Coriander Powder!  This 50g pack delivers the authentic taste of freshly ground coriander, elevating your culinary creations. Perfect for curries, marinades, and spice blends, it adds a unique warmth and complexity to your dishes. Experience the difference quality makes!

Our NATIONAL Coriander Powder is meticulously sourced and ground to ensure consistent quality and superior flavour.  It's 50g of pure, unadulterated coriander, ready to enhance your cooking.  Features include: *Finely ground for easy blending*  *Rich, earthy aroma*  *100% pure coriander*  *Convenient 50g pack size*.

Add depth and complexity to your favourite recipes with NATIONAL Coriander Powder.  Use it liberally in your favourite dishes for a burst of flavour.  Order yours today and experience the difference!
",NATIONAL - Garlic Powder 50g | NATIONAL - Chilli Powder  50g | NATIONAL Garam Masala 50g
National Sindhi Biryani Masala 50g,,"Unleash the authentic taste of Sindh with our National Sindhi Biryani Masala!  This 50g pack delivers the rich, aromatic blend of spices that makes this iconic biryani unforgettable.  Experience the vibrant flavors and incredible aroma that will transport you straight to the heart of Sindh.  Prepare a restaurant-quality biryani with ease, impressing family and friends with your culinary skills.


Our meticulously crafted blend features premium quality spices, perfectly balanced to deliver the signature Sindhi taste.  It's 50g of pure flavour, ready to elevate your biryani game.  Simply add to your rice and meat, and let the magic happen. No artificial colors or preservatives.


Create a truly memorable biryani experience.  This masala is perfect for both beginners and experienced cooks.  Order your National Sindhi Biryani Masala today and savour the true taste of Sindh!  Enjoy!
",NATIONAL - Bombay Biryani 50g | NATIONAL - Pulao Masala 70g | NATIONAL Garam Masala 50g
SHAN Chicken Handi Mix 50g,,"Unleash the authentic taste of India with SHAN Chicken Handi Mix!  This 50g pack delivers restaurant-quality Chicken Handi flavour, effortlessly. Create a delicious, aromatic curry in minutes, perfect for busy weeknights or special occasions.  Enjoy a rich, flavorful experience without the fuss of complex recipes.


Experience the convenience of SHAN's expertly blended spices. This mix contains a perfect balance of herbs and spices, including ginger, garlic, chili, and aromatic garam masala, for an authentic Handi taste. Simply add chicken and your preferred vegetables for a complete meal.  50g makes one delicious serving.


Elevate your cooking with SHAN's quality ingredients and simple instructions.  Discover the ease and deliciousness of authentic Handi at home.  Add a side of naan or rice for a truly satisfying experience. Order your SHAN Chicken Handi Mix today and savor the flavour!
",SHAN - korma masala 50g | SHAN - Karahi Fry Goshat Masala-50 g | SHAN - Nihari Masala 50g
NATIONAL - Pulao Masala 70g,,"Unleash the vibrant flavors of India with NATIONAL Pulao Masala!  This 70g blend creates aromatic, restaurant-quality pulao rice dishes effortlessly.  Experience rich, authentic taste in minutes, perfect for weeknight meals or special occasions. Elevate your rice game with this expertly crafted spice mix.

Our carefully selected blend includes premium spices like cardamom, cloves, cinnamon, and more, creating a complex and delicious flavor profile.  This 70g pack is conveniently sized for multiple uses. Simply add to your favorite rice recipe for an instant flavor upgrade.   No artificial colors or flavors.

Add depth and warmth to your cooking!  Use NATIONAL Pulao Masala to create unforgettable dishes.  Perfect for parties or family dinners.  Order yours today and experience the difference!  Enjoy the aroma and taste of authentic Indian cuisine.
",NATIONAL - Bombay Biryani 50g | National Sindhi Biryani Masala 50g | NATIONAL - Halem Masala 50 g
NATIONAL - Chat Masala 45g,,"Unleash the vibrant flavours of India with NATIONAL Chat Masala!  This 45g pack delivers an explosion of taste, perfectly balancing sweet, sour, spicy, and tangy notes. Elevate your snacks, chaat, and even everyday dishes with this aromatic blend.  Transform ordinary into extraordinary!


NATIONAL Chat Masala (45g) boasts a unique blend of carefully selected spices and herbs.  It's ready to use, adding instant flavour and a delightful aroma.  Perfect for sprinkling on your favourite snacks,  it's also fantastic in chutneys and yogurt dips.


Spice up your life!  Use NATIONAL Chat Masala to add a zesty kick to your favourite recipes.  A little goes a long way – experiment and discover your perfect flavour combination.  Order yours today and experience the authentic taste of India!
",Shan Chat Masala Hard 50g | NATIONAL Garam Masala 50g | NATIONAL - Bombay Biryani 50g
Fresh Extra Bold Grain Sugar Poly Bag  5kg,,"Unleash the sweetness! Our Fresh Extra Bold Grain Sugar, a 5kg poly bag (SKU: Fresh Extra Bold Grain Sugar Poly Bag 5kg), delivers intense sweetness perfect for baking, brewing, and everyday use.  Experience superior quality and consistent results.  Enjoy the rich, bold flavor that elevates your culinary creations. It's the perfect balance of sweetness and texture.


This 5kg bag of extra bold grain sugar boasts a superior crystal structure, ensuring easy dissolving and preventing clumping.  It's non-GMO and free from artificial additives.  Key features include: *5kg convenient poly bag packaging*; *Extra bold grain size for optimal texture*; *Exceptional purity and sweetness*.


Stock up on this essential baking ingredient today!  Its large quantity provides excellent value, ideal for home bakers and businesses alike.  Perfect for everything from cakes to jams.  Order now and experience the difference!
",Fresh  Extra Bold Grain Sugar 1kg
Fresh  Extra Bold Grain Sugar 1kg,,"Unleash the bold flavor! Fresh Extra Bold Grain Sugar, 1kg (SKU: Fresh Extra Bold Grain Sugar 1kg), delivers an intensely sweet experience perfect for baking, beverages, and more.  Experience richer, deeper sweetness that elevates your creations.  It's the secret ingredient to unforgettable desserts and invigorating drinks.

This premium 1kg bag boasts exceptional grain texture and superior solubility, ensuring effortless mixing and consistent results.  Its bold sweetness is perfectly balanced, enhancing rather than overpowering other flavors.  Key features include: *1kg convenient size*; *Exceptional grain texture*; *Superior solubility*; *Naturally delicious sweetness*.

Elevate your culinary creations with Fresh Extra Bold Grain Sugar. Ideal for baking cookies, cakes, and pies, or adding a burst of sweetness to your favorite coffee or tea.  Order yours today and taste the difference!
",Fresh Extra Bold Grain Sugar Poly Bag  5kg
Glaxose D Powder - 100g,,"Glaxose D Powder - 100g:  Fuel your active life!  This delicious, easily-digested dextrose powder provides rapid energy replenishment for workouts, sports, and demanding activities.  Boost your performance and recovery with this convenient and effective supplement. Experience sustained energy without the crash.

Each 100g container offers a pure source of dextrose, perfect for mixing into water or your favorite beverage.  Simply add to your drink for a quick energy boost.  It's easily soluble, mixes quickly, and has a pleasant, slightly sweet taste.  No artificial colors or flavors.

Glaxose D Powder is ideal for athletes, students, or anyone needing a fast energy pick-me-up. Add it to smoothies, yogurt, or oatmeal for a nutritious energy boost.  Order your 100g pack today and feel the difference!
",NESTLE Lactogen 1 Powder 800g | NESTLE - Lactogen 2 Powder Milk Box 400g | NESTLE Lactogen 3 Powder Milk Box 400 g
DALDA Cooking Oil Pouch 1L,,"Experience the rich taste and superior quality of DALDA Cooking Oil, now in a convenient 1L pouch (SKU: DALDA Cooking Oil Pouch 1L)!  Perfect for everyday cooking, DALDA delivers delicious flavor and helps maintain the nutritional value of your meals.  Enjoy healthier frying with less absorption, resulting in crispier dishes and less oil consumption.  It's the ideal choice for families who value both taste and health.

Our 1L pouch offers easy pouring and storage, making it perfect for your kitchen.  It's made from durable, resealable material to maintain freshness and prevent spills.  This versatile oil is ideal for frying, sautéing, baking, and more!  The 1-liter size is perfect for regular use, offering excellent value and convenience.


DALDA Cooking Oil is a staple in kitchens worldwide for its unmatched quality.  Use it to create your favorite dishes with confidence.  Order your DALDA 1L pouch today and experience the difference!  Discover healthier, tastier cooking with DALDA.
",SEASONS - Canola Oil Pouch 1L | EVA - Canola Oil Pouch 1L | SOYA SUPREME-Cooking Oil 1Ltr Pouch
SEASONS - Canola Oil Pouch 1L,,"Introducing SEASONS Canola Oil Pouch – 1L!  Enjoy the light, crisp taste and versatile cooking power of 100% pure canola oil, now in a convenient, resealable pouch. Perfect for frying, baking, or everyday cooking,  it's a healthy and delicious choice for your kitchen.  Experience the freshness and ease of our innovative packaging!


Our 1L pouch offers easy pouring and storage.  It's made from BPA-free, food-grade material.  The resealable design ensures optimal freshness, preventing oil oxidation and preserving flavor.  Simply pour and reseal – no messy bottles!


Add SEASONS Canola Oil to your cart today and elevate your culinary creations! Its neutral flavor enhances any dish without overpowering delicate tastes.  Enjoy the health benefits of canola oil’s heart-healthy fats.  Order now and experience the difference!
",DALDA Cooking Oil Pouch 1L | EVA - Canola Oil Pouch 1L | SOYA SUPREME-Cooking Oil 1Ltr Pouch
EVA - Canola Oil Pouch 1L,,"Introducing EVA Canola Oil, the heart-healthy choice for your kitchen!  This 1L pouch delivers the rich flavor and nutritional benefits of premium canola oil, perfect for cooking, baking, and sautéing. Experience superior taste and texture in every dish, knowing you're using a versatile, all-purpose oil that's good for you.  Enjoy the freshness and convenience of our resealable pouch.

Our EVA-Canola Oil Pouch (SKU: EVA - Canola Oil Pouch 1L) offers 100% pure canola oil, low in saturated fat and a good source of healthy fats.  It’s conveniently packaged in a 1-liter, resealable stand-up pouch for easy storage and pouring. The pouch ensures freshness and minimizes waste.  Enjoy the ease of use and long-lasting quality.

Discover the difference!  Use EVA Canola Oil for everything from frying crispy potatoes to creating delicious salad dressings. Its neutral flavor won't overpower your culinary creations. Order yours today and elevate your cooking experience!  Experience the EVA difference!
",DALDA Cooking Oil Pouch 1L | SEASONS - Canola Oil Pouch 1L | SOYA SUPREME-Cooking Oil 1Ltr Pouch
SOYA SUPREME-Cooking Oil 1Ltr Pouch,,"Elevate your cooking with SOYA SUPREME Cooking Oil!  This 1-liter pouch delivers the rich flavor and superior quality you expect, perfect for stir-fries, deep frying, or everyday cooking. Experience the lightness and health benefits of soybean oil, without compromising on taste.  Enjoy deliciously crispy results every time!

Our SOYA SUPREME Cooking Oil boasts a high smoke point, ensuring even cooking and preventing burning.  It’s packed in a convenient, resealable 1-liter pouch for easy storage and freshness.  Made from 100% pure soybeans, it's a versatile and healthy choice for your family's meals.  This pouch is also environmentally friendly, reducing waste.

Discover the difference SOYA SUPREME makes!  Its neutral flavor enhances your dishes without overpowering delicate tastes.  Use it for sautéing vegetables, baking, or even as a salad dressing.  Order your SOYA SUPREME 1-liter pouch today and experience the supreme taste!
",DALDA Cooking Oil Pouch 1L | SEASONS - Canola Oil Pouch 1L | EVA - Canola Oil Pouch 1L
HABIB Cooking Oil Pouch 1Ltr,,"HABIB Cooking Oil Pouch, 1 Litre – the perfect blend of quality and convenience for your kitchen!  Enjoy the rich, flavourful taste that enhances any dish.  Our premium oil is carefully refined for a healthier cooking experience, leaving your food tasting delicious and looking its best.  It's perfect for frying, sautéing, and baking.

This convenient 1-litre pouch is easy to store and pour, minimizing waste and maximizing freshness.  It's made from a resealable material, keeping your oil fresh for longer.  Key features include: 100% pure vegetable oil, light and neutral flavour, high smoke point, and a convenient, resealable pouch.

Add HABIB Cooking Oil to your cart today and experience the difference!  Use it for all your favourite recipes and discover a new level of culinary excellence.  Its light flavour won't overpower your dishes, letting the natural taste shine through.  Order now and elevate your cooking!
",DALDA Cooking Oil Pouch 1L | SEASONS - Canola Oil Pouch 1L | EVA - Canola Oil Pouch 1L
Italia Olive Oil Extra Light -2 ltr,,"Experience the lightness and purity of Italia Olive Oil Extra Light!  Perfect for everyday cooking, this 2-liter bottle delivers a delicate flavor that won't overpower your dishes.  Enjoy the health benefits of olive oil without the strong taste, ideal for baking, sautéing, and frying. Unlock culinary creativity with this versatile oil.

This premium extra light olive oil comes in a convenient 2-liter bottle, ensuring you always have plenty on hand. Its neutral flavor enhances, rather than masks, the natural flavors of your ingredients.  Features include: *High-quality olives* Cold-pressed extraction *Naturally refined for a light taste*  2-liter size for value and convenience.

Elevate your everyday cooking with the clean taste of Italia Extra Light.  Its high smoke point makes it perfect for high-heat cooking. Add it to your salad dressings, marinades, or use it for baking.  Order yours today and experience the difference!
",DALDA Cooking Oil Pouch 1L | SEASONS - Canola Oil Pouch 1L | EVA - Canola Oil Pouch 1L
SOYA SUPREME -  Banaspati Ghee Pouch 1Kg,,"Experience the richness of SOYA SUPREME Banaspati Ghee!  This 1kg pouch delivers the delicious taste and aroma you crave, perfect for everyday cooking and special occasions. Enjoy its versatile nature – ideal for frying, sautéing, and baking, enhancing the flavor of your dishes.  It's a healthier alternative, offering a delightful culinary experience.


Made from high-quality soyabean oil, our Banaspati Ghee is carefully processed to ensure purity and superior quality.  It comes in a convenient 1kg pouch for easy storage and use.  Features include: •  100% pure soyabean oil base •  Long shelf life •  Excellent for high-heat cooking.


SOYA SUPREME Banaspati Ghee provides a delightful balance of taste and affordability.  Enjoy its smooth texture and versatile applications. Order yours today and elevate your cooking!
",HABIB - Banaspati Ghee Pouch 1Ltr | DALDA Cooking Oil Pouch 1L | SOYA SUPREME-Cooking Oil 1Ltr Pouch
HABIB - Banaspati Ghee Pouch 1Ltr,,"Introducing HABIB Banaspati Ghee, the perfect cooking companion!  Enjoy the rich, authentic taste and aroma that elevates every dish.  Made with high-quality ingredients, our ghee adds a delightful flavour and golden hue, making your meals extra special.  It's versatile, perfect for frying, baking, or simply spreading on bread.

This 1-liter pouch of HABIB Banaspati Ghee offers convenience and freshness.  It's easy to store and pour.  The resealable pouch helps maintain the ghee's quality and delicious taste.  Enjoy the goodness of HABIB – a trusted name in quality cooking fats.

Experience the difference HABIB Banaspati Ghee makes!  Use it to create delicious and healthy meals for your family.  Order yours today and savor the taste of tradition.  Perfect for everyday cooking and special occasions.  Discover the HABIB difference!
",SOYA SUPREME -  Banaspati Ghee Pouch 1Kg | DALDA Cooking Oil Pouch 1L | HABIB Cooking Oil Pouch 1Ltr
Daal Chana - 1/2 kg,,"Indulge in the wholesome goodness of our Daal Chana (1/2 kg)! This nutritious split chickpea lentil is packed with protein and fiber, perfect for a healthy and delicious meal.  Enjoy a hearty, flavorful dish that's both satisfying and good for you.  Prepare it easily for a quick weeknight dinner or a comforting weekend feast.

Our Daal Chana is carefully sourced and expertly cleaned for superior quality.  This 1/2 kg pack provides ample servings, making it ideal for families or individuals who enjoy this versatile legume. It's naturally gluten-free and a great source of plant-based protein, making it a fantastic choice for vegetarians and vegans alike.

Discover the endless culinary possibilities! Use it to create creamy daal, add it to soups and stews for extra heartiness, or incorporate it into your favorite salads and side dishes. Order your Daal Chana today and experience the difference quality makes!
",Daal Moong Wash - 1/2 kg | Daal  Moong Chilka - 1/2 kg | Black Chana - 1/2 kg
Lobia White 500g,,"Experience the creamy goodness of Lobia White beans!  This 500g bag is perfect for hearty soups, flavorful salads, and delicious dips.  Enjoy the rich, nutty flavor and incredible nutritional benefits – packed with protein and fiber for sustained energy.  A versatile staple for any kitchen, adding wholesome goodness to your meals effortlessly.


Lobia White beans (SKU: Lobia White 500g) are carefully selected for superior quality and taste.  They're easy to cook – simply rinse and simmer until tender.  This convenient 500g pack provides ample servings for the whole family.  Our beans are naturally grown and free from harmful chemicals.


Enhance your culinary creations with the delightful taste and texture of Lobia White beans.  Add them to your favorite recipes or try them in new and exciting ways!  Order your bag today and savor the deliciousness!
",LOBIA Red 500g | Daal Chana - 1/2 kg | Daal Moong Wash - 1/2 kg
Daal Moong Wash - 1/2 kg,,"Introducing Daal Moong Wash – 1/2 kg, your shortcut to perfectly clean and ready-to-cook moong dal!  Save precious time and effort with our pre-washed, premium quality moong dal.  Enjoy a hassle-free cooking experience, resulting in healthier, tastier meals every time.  No more tedious sorting and rinsing!

This 1/2 kg pack of Daal Moong Wash offers superior convenience.  It’s meticulously cleaned to remove impurities and debris, ensuring a pure and wholesome cooking experience.  Simply rinse briefly before cooking.  Our commitment to quality guarantees consistent taste and texture.


Experience the difference!  Prepare delicious and nutritious moong dal dishes effortlessly.  Perfect for soups, dals, and more!  Order your pack of Daal Moong Wash today and simplify your meal preparation.  Enjoy the taste of purity and convenience!
",Daal Chana - 1/2 kg | Daal  Moong Chilka - 1/2 kg | Lobia White 500g
Daal  Moong Chilka - 1/2 kg,,"Experience the wholesome goodness of Daal Moong Chilka!  This premium 1/2 kg pack offers delicious, nutritious split yellow lentils with their skins intact, retaining maximum fiber and flavor. Enjoy a hearty, easily digestible meal packed with protein and essential nutrients, perfect for everyday cooking.  Boost your health and savor every bite!


Our Daal Moong Chilka (SKU: Daal Moong Chilka - 1/2 kg) is sourced from the finest fields, ensuring superior quality and taste.  It cooks quickly, saving you precious time in the kitchen. The intact skins add a unique texture and enhance the nutritional value.  This versatile lentil is perfect for soups, stews, and dal.


Prepare a healthy and flavorful meal effortlessly.  Simply rinse before cooking, and enjoy its versatility in countless recipes.   Order your pack today and experience the difference!  Add to cart now and savor the taste of wholesome goodness.
",Daal Chana - 1/2 kg | Daal Moong Wash - 1/2 kg | Lobia White 500g
LOBIA Red 500g,,"Indulge in the rich, vibrant flavor of LOBIA Red, our premium 500g bag of exquisite red lentils!  Perfect for hearty soups, flavorful stews, or as a delicious side dish, LOBIA Red offers exceptional taste and nutritional value.  Boost your protein intake and enjoy a healthy, versatile ingredient for countless culinary creations.

Our LOBIA Red lentils are carefully sourced and selected for superior quality.  This 500g bag provides ample servings for your family.  They cook quickly and evenly, retaining their shape and vibrant color.  • High in protein & fiber. • Naturally gluten-free. • Versatile culinary uses.

Prepare delicious and nutritious meals effortlessly with LOBIA Red.  Simply rinse before cooking and enjoy their amazing texture and taste!  Order your bag today and experience the difference quality makes.  Explore endless recipe possibilities with this kitchen staple!
",Lobia White 500g | Daal Chana - 1/2 kg | Black Chana - 1/2 kg
Black Chana - 1/2 kg,,"Experience the rich, earthy flavor of our Black Chana (SKU: Black Chana - 1/2 kg)!  These nutritious black chickpeas are perfect for adding a protein punch to your favorite dishes.  Boost your fiber intake and enjoy a delicious, versatile legume that’s incredibly satisfying.  A healthy and delicious addition to any meal!

Our half-kilogram bag of Black Chana is carefully sourced and packed for optimal freshness.  They’re naturally gluten-free, making them a great option for various dietary needs.  Simply rinse before cooking for soups, stews, salads, or as a tasty snack.  Enjoy the convenience of a readily available, high-quality ingredient.

Prepare for a culinary adventure!  Black Chana offers a unique texture and flavor profile that elevates any recipe.  Add them to your cart today and discover the endless possibilities!  Order now and experience the difference!
",Daal Chana - 1/2 kg | Black Chana - 1kg | Lobia White 500g
Chana White Small 1kg,,"Experience the creamy goodness of Chana White Small, 1kg!  This premium quality split chickpea is perfect for your favorite curries, stews, and salads.  Enjoy its delicate flavor and exceptional texture, adding a nutritious and delicious element to any meal.  Boost your protein intake and elevate your culinary creations effortlessly.

Our Chana White Small (1kg) boasts consistent sizing for even cooking, minimizing mushy bits and maximizing flavor.  It's carefully sourced and packed to ensure freshness and quality.  Key features include: *1kg convenient pack size*, *consistent small size for uniform cooking*, *high protein content*, and *versatile culinary applications*.

Prepare delicious and healthy meals with ease!  Chana White Small cooks quickly and absorbs flavors beautifully.  Simply rinse before cooking.  Order yours today and discover the difference premium quality makes!  Enjoy!
",Daal Chana - 1/2 kg | Black Chana - 1/2 kg | Black Chana - 1kg
Black Chana - 1kg,,"Introducing Black Chana (SKU: Black Chana - 1kg), a powerhouse of protein and fiber!  Enjoy a delicious and nutritious boost to your diet with these versatile, dark-colored chickpeas.  Perfect for curries, salads, or as a healthy snack, Black Chana offers sustained energy and aids digestion.  Experience the rich flavor and incredible health benefits today!

This 1kg bag of premium Black Chana is carefully sourced for superior quality.  Features include:  *High protein content *Excellent source of fiber *Naturally gluten-free *Versatile culinary applications.  Prepare them in a variety of ways – boiled, roasted, or added to your favorite dishes.

Enhance your meals with the earthy flavor of Black Chana.  They’re a great addition to any weight management plan and are incredibly satisfying. Order your 1kg bag now and discover the delicious difference!
",Black Chana - 1/2 kg | Chana White Small 1kg | Daal Chana - 1/2 kg
